timestamp,gamma_rad,dgamma_radps,phi_rad,dphi_radps
2.5512449741, 3.0485022068, 0.0010908308, -0.0930119082, -0.0000000000
2.5612528324, 3.0485022068, -0.0011030308, -0.0930119082, -0.0000000000
2.5712497234, 3.0485022068, -0.0011001513, -0.0917006060, -0.0000000000
2.5812509060, 3.0485022068, 0.0010917897, -0.0917006060, -0.0000000000
2.5912518501, 3.0485022068, -0.0010991845, -0.0917006060, -0.0000000000
2.6012520790, 3.0485022068, -0.0000102717, -0.0917006060, -0.0000000000
2.6112542152, 3.0485022068, -0.0021713900, -0.0662185401, -0.0000000000
2.6212577820, 3.0485022068, 0.0000063915, -0.0662185401, -0.0000000000
2.6312601566, 3.0485022068, -0.0000127829, -0.0662185401, -0.0000000000
2.6412618160, 3.0485022068, 0.0000083659, -0.0662185401, -0.0000000000
2.6512622833, 3.0485022068, -0.0000127829, -0.0662343726, -0.0000000000
2.6612627506, 3.0485022068, 0.0010747536, -0.0662343726, -0.0000000000
2.6712627411, 3.0485022068, -0.0000127857, -0.0662343726, -0.0000000000
2.6812653542, 3.0485022068, 0.0000218118, -0.0662343726, -0.0000000000
2.6912679672, 3.0485022068, -0.0010831213, -0.0662185401, -0.0000000000
2.7012681961, 3.0485022068, 0.0021477297, -0.0662185401, -0.0000000000
2.7112753391, 3.0485022068, -0.0000006582, -0.0662201345, -0.0000000000
2.7212729454, 3.0485022068, 0.0010844452, -0.0662201345, -0.0000000000
2.7312748432, 3.0485022068, -0.0021829766, -0.0659699142, -0.0000000000
2.7412879467, 3.0485022068, -0.0021893980, -0.0659699142, -0.0000000000
2.7512781620, 3.0485022068, 0.0000000000, -0.0654991120, -0.0000000000
2.7615590096, 3.0485022068, 0.0021810203, -0.0654991120, -0.0000000000
2.7717368603, 3.0485022068, 0.0011002647, -0.0652488619, -0.0000000000
2.7820091248, 3.0485022068, -0.0010675490, -0.0652488619, -0.0000000000
2.7912874222, 3.0485022068, -0.0011065667, -0.0649986118, -0.0000000000
2.8025610447, 3.0485022068, 0.0010776100, -0.0649986118, -0.0000000000
2.8128407001, 3.0485022068, -0.0000132209, -0.0649986118, -0.0000000000
2.8232131004, 3.0485022068, 0.0010921255, -0.0649986118, -0.0000000000
2.8334918022, 3.0485022068, 0.0000012947, -0.0649986118, -0.0000000000
2.8438944817, 3.0485022068, 0.0000006474, -0.0649986118, -0.0000000000
2.8539330959, 3.0485022068, 0.0010914782, -0.0649365336, -0.0000000000
2.8639209270, 3.0485022068, -0.0000067572, -0.0649365336, -0.0000000000
2.8739147186, 3.0485022068, -0.0000196409, -0.0649365336, -0.0000000000
2.8839068413, 3.0485022068, -0.0021797689, -0.0649365336, -0.0000000000
2.8925836086, 3.0485022068, 0.0000067572, -0.0645292997, -0.0000000000
2.9039120674, 3.0485022068, -0.0021688470, -0.0645292997, -0.0000000000
2.9139499664, 3.0485022068, 0.0010828548, -0.0645138919, -0.0000000000
2.9239437580, 3.0485022068, 0.0021682233, -0.0645138919, -0.0000000000
2.9339425564, 3.0485022068, -0.0010639541, -0.0645138919, -0.0000000000
2.9438533783, 3.0485022068, -0.0021535300, -0.0645138919, -0.0000000000
2.9538552761, 3.0485022068, -0.0021774515, -0.0645138919, -0.0000000000
2.9638550282, 3.0485022068, -0.0032779570, -0.0645138919, -0.0000000000
2.9738419056, 3.0485022068, 0.0010908308, -0.0645138919, -0.0000000000
2.9837706089, 3.0485022068, 0.0010773924, -0.0645138919, -0.0000000000
2.9937705994, 3.0485022068, -0.0011048965, -0.0645138919, -0.0000000000
3.0036823750, 3.0485022068, -0.0000006273, -0.0645138919, -0.0000000000
3.0136988163, 3.0485022068, 0.0010908308, -0.0639497936, -0.0000000000
3.0236868858, 3.0485022068, 0.0010914482, -0.0639497936, -0.0000000000
3.0336072445, 3.0485022068, 0.0010842170, -0.0639497936, -0.0000000000
3.0436224937, 3.0485022068, -0.0000126101, -0.0639497936, -0.0000000000
3.0536096096, 3.0485022068, 0.0010782207, -0.0639497936, -0.0000000000
3.0635256767, 3.0485022068, -0.0032658787, -0.0639497936, -0.0000000000
