time_sec,gamma_rad,dgamma_radps
1.0135922432, 3.0977637768, -0.0032724924
1.0236555338, 3.0977637768, -0.0018593535
1.0337264538, 3.0977637768, -0.0010797931
1.0437010527, 3.0977637768, 0.0028834043
1.0537694693, 3.0977637768, 0.0031612846
1.0638519526, 3.0977637768, -0.0029946121
1.0734137297, 3.0977637768, -0.0011018685
1.0839701891, 3.0977637768, -0.0019815986
1.0939425230, 3.0977637768, -0.0031058192
1.1040327549, 3.0977637768, 0.0041298703
1.1141097546, 3.0977637768, 0.0008907677
1.1241630316, 3.0977637768, 0.0001222454
1.1341336966, 3.0977637768, -0.0011352585
1.1442017555, 3.0977637768, -0.0011018685
1.1542915106, 3.0977637768, -0.0022594794
1.1643491983, 3.0977637768, -0.0000110377
1.1739209890, 3.0977637768, 0.0021816615
1.1843857765, 3.0977637768, -0.0020594161
1.1944512129, 3.0977637768, -0.0000110377
1.2041687965, 3.0977637768, 0.0031278951
1.2146081924, 3.0977637768, -0.0032835300
1.2245705128, 3.0977637768, -0.0000444277
1.2346522808, 3.0977637768, 0.0020149886
1.2447215319, 3.0977637768, -0.0020260261
1.2547051907, 3.0977637768, -0.0001222454
1.2647672892, 3.0977637768, -0.0010464031
1.2743512392, 3.0977637768, -0.0020594161
1.2848124504, 3.0977637768, -0.0011242209
1.2948675156, 3.0977637768, -0.0042187260
1.3049372435, 3.0977637768, 0.0040410152
1.3149280548, 3.0977637768, 0.0019261332
1.3249244690, 3.0977637768, 0.0019037812
1.3349317312, 3.0977637768, 0.0021816615
1.3449325562, 3.0977637768, -0.0041742981
1.3549585342, 3.0977637768, -0.0031612846
1.3649555445, 3.0977637768, -0.0001777107
1.3748192787, 3.0977637768, -0.0009685854
1.3849507570, 3.0977637768, 0.0000000000
1.3949350119, 3.0977637768, 0.0020149886
1.4049026966, 3.0977637768, 0.0020149886
1.4149060249, 3.0977637768, -0.0001666731
1.4248462915, 3.0977637768, 0.0009796231
1.4348492622, 3.0977637768, 0.0051318458
1.4448642731, 3.0977637768, -0.0011796862
1.4548159838, 3.0977637768, -0.0040520523
1.4647990465, 3.0977637768, -0.0001666731
1.4747977257, 3.0977637768, 0.0031612846
1.4847389460, 3.0977637768, 0.0019482089
1.4947632551, 3.0977637768, -0.0019037812
1.5047432184, 3.0977637768, 0.0011686485
1.5146967173, 3.0977637768, -0.0031946746
1.5246882439, 3.0977637768, 0.0019037812
1.5347002745, 3.0977637768, 0.0001556354
1.5446922779, 3.0977637768, 0.0009796231
1.5546457767, 3.0977637768, -0.0030280016
1.5646389723, 3.0977637768, -0.0021816615
1.5746375322, 3.0977637768, -0.0021816615
1.5845912695, 3.0977637768, -0.0010574408
1.5945830345, 3.0977637768, -0.0030056492
1.6045855284, 3.0977637768, -0.0008907677
1.6145244837, 3.0977637768, -0.0012020387
1.6245317459, 3.0977637768, 0.0030390397
1.6345189810, 3.0977637768, -0.0031502470
1.6444795132, 3.0977637768, -0.0010464031
1.6544747353, 3.0977637768, -0.0061669345
1.6644899845, 3.0977637768, -0.0041409074
1.6744207144, 3.0977637768, 0.0031278951
1.6844232082, 3.0977637768, -0.0019705608
1.6944122314, 3.0977637768, 0.0031946746
1.7043709755, 3.0977637768, 0.0082931304
1.7143727541, 3.0977637768, 0.0039298073
1.7243709564, 3.0977637768, 0.0033389954
1.7343144417, 3.0977637768, 0.0011018685
1.7443132401, 3.0977637768, 0.0000778177
1.7543175220, 3.0977637768, -0.0041188323
1.7642858028, 3.0977637768, 0.0031168568
1.7742694616, 3.0977637768, 0.0042187260
1.7842625380, 3.0977637768, 0.0040076245
1.7942687273, 3.0977637768, -0.0010130131
1.8042078018, 3.0977637768, 0.0021038437
1.8142021894, 3.0977637768, -0.0042855055
1.8242089748, 3.0977637768, -0.0031612846
1.8341608047, 3.0977637768, 0.0021482715
1.8441585302, 3.0977637768, 0.0019926366
1.8541589975, 3.0977637768, 0.0019815986
1.8641049862, 3.0977637768, -0.0011242209
1.8740922213, 3.0977637768, -0.0020260261
1.8840894699, 3.0977637768, -0.0001666731
1.8940974474, 3.0977637768, 0.0019705608
1.9040381908, 3.0977637768, -0.0010574408
1.9140574932, 3.0977637768, 0.0000778177
1.9240574837, 3.0977637768, -0.0011352585
1.9340025187, 3.0977637768, 0.0010684785
1.9440047741, 3.0977637768, 0.0001332830
1.9540036917, 3.0977637768, 0.0011796862
1.9639902115, 3.0977637768, -0.0012130761
1.9739414454, 3.0977637768, 0.0021816615
1.9839507341, 3.0977637768, -0.0010130131
1.9939415455, 3.0977637768, -0.0019037812
2.0038919449, 3.0977637768, -0.0042631533
2.0138840675, 3.0977637768, -0.0001222454
2.0238971710, 3.0977637768, 0.0011686485
2.0338287354, 3.0977637768, 0.0008463400
2.0438401699, 3.0977637768, 0.0021038437
2.0538334846, 3.0977637768, -0.0002444908
2.0637860298, 3.0977637768, 0.0018927431
2.0737903118, 3.0977637768, 0.0020260261
2.0837774277, 3.0977637768, -0.0041188323
2.0937805176, 3.0977637768, 0.0010908308
2.1037356853, 3.0977637768, 0.0009241577
2.1137402058, 3.0977637768, 0.0050206380
2.1237297058, 3.0977637768, 0.0040964801
2.1336734295, 3.0977637768, 0.0009796231
2.1436750889, 3.0977637768, 0.0001112078
2.1536729336, 3.0977637768, -0.0031278951
2.1636736393, 3.0977637768, -0.0001332830
2.1736578941, 3.0977637768, -0.0074578277
2.1836602688, 3.0977637768, -0.0001887484
2.1936709881, 3.0977637768, 0.0021926994
2.2035758495, 3.0977637768, 0.0000888554
2.2135782242, 3.0977637768, -0.0021816615
2.2235667706, 3.0977637768, 0.0021148815
