time_sec,gamma_rad,dgamma_radps
1.0144287348, 3.0942196846, -0.0021816615
1.0244407654, 3.0942196846, 0.0007827602
1.0344341993, 3.0942196846, 0.0018683259
1.0443710089, 3.0942196846, -0.0006817359
1.0543752909, 3.0942196846, -0.0014343312
1.0643802881, 3.0942196846, 0.0025854916
1.0743085146, 3.0942196846, 0.0004038300
1.0843219757, 3.0942196846, 0.0000177149
1.0943242311, 3.0942196846, 0.0018735909
1.1042594910, 3.0942196846, -0.0003080707
1.1142922640, 3.0942196846, 0.0018204462
1.1242817640, 3.0942196846, 0.0029768716
1.1342715025, 3.0942196846, 0.0018558761
1.1442177296, 3.0942196846, -0.0014343312
1.1542270184, 3.0942196846, 0.0004569746
1.1642192602, 3.0942196846, -0.0018558761
1.1741729975, 3.0942196846, -0.0010783809
1.1841729879, 3.0942196846, -0.0007296155
1.1941720247, 3.0942196846, 0.0026563511
1.2041182518, 3.0942196846, -0.0011085457
1.2141077518, 3.0942196846, -0.0000354298
1.2241187096, 3.0942196846, 0.0018204462
1.2341107130, 3.0942196846, 0.0003559503
1.2440497875, 3.0942196846, -0.0003736652
1.2540669441, 3.0942196846, -0.0007171656
1.2640655041, 3.0942196846, 0.0007650452
1.2740087509, 3.0942196846, 0.0004268098
1.2840037346, 3.0942196846, -0.0018381611
1.2940132618, 3.0942196846, -0.0006994507
1.3039464951, 3.0942196846, 0.0003736652
1.3139605522, 3.0942196846, -0.0013811864
1.3239612579, 3.0942196846, -0.0014644959
1.3339010477, 3.0942196846, -0.0029112771
1.3438994884, 3.0942196846, -0.0003257855
1.3538942337, 3.0942196846, 0.0029644216
1.3638992310, 3.0942196846, 0.0018558761
1.3738538027, 3.0942196846, -0.0003435004
1.3838527203, 3.0942196846, 0.0003736652
1.3938508034, 3.0942196846, 0.0010908308
1.4037884474, 3.0942196846, -0.0013811864
1.4138017893, 3.0942196846, 0.0007473304
1.4237977266, 3.0942196846, 0.0010908308
1.4337584972, 3.0942196846, -0.0003913801
1.4437361956, 3.0942196846, -0.0018257112
1.4537487030, 3.0942196846, 0.0040375376
1.4637415409, 3.0942196846, -0.0006817359
1.4736859798, 3.0942196846, -0.0003257855
1.4836868048, 3.0942196846, 0.0011085457
1.4936977625, 3.0942196846, 0.0011085457
1.5036244392, 3.0942196846, 0.0000177149
1.5136287212, 3.0942196846, -0.0035930129
1.5236291885, 3.0942196846, -0.0010731159
1.5335774422, 3.0942196846, -0.0033026570
1.5435760021, 3.0942196846, -0.0036940372
1.5535812378, 3.0942196846, -0.0018204462
1.5635848045, 3.0942196846, -0.0003205205
1.5735702515, 3.0942196846, -0.0007119006
1.5835742950, 3.0942196846, 0.0026563511
1.5935697556, 3.0942196846, -0.0018381611
1.6034952402, 3.0942196846, -0.0032672272
1.6134769917, 3.0942196846, 0.0007827602
1.6234769821, 3.0942196846, -0.0033026570
1.6334450245, 3.0942196846, -0.0039666779
1.6434309483, 3.0942196846, -0.0014290663
1.6534367800, 3.0942196846, -0.0018434261
1.6634049416, 3.0942196846, 0.0018204462
1.6734292507, 3.0942196846, -0.0000354298
1.6833912134, 3.0942196846, 0.0003435004
1.6933612823, 3.0942196846, -0.0021941115
1.7033323050, 3.0942196846, -0.0032547775
1.7133090496, 3.0942196846, 0.0018558761
1.7233077288, 3.0942196846, -0.0018027314
1.7333102226, 3.0942196846, -0.0025500618
1.7433122396, 3.0942196846, 0.0007296155
1.7533152103, 3.0942196846, -0.0007296155
1.7633162737, 3.0942196846, -0.0014290663
1.7733197212, 3.0942196846, 0.0018913058
1.7833232880, 3.0942196846, 0.0018558761
1.7933232784, 3.0942196846, -0.0018381611
1.8033257723, 3.0942196846, -0.0025854916
1.8133285046, 3.0942196846, -0.0018558761
1.8233294487, 3.0942196846, -0.0021285168
1.8333302736, 3.0942196846, 0.0019214705
1.8433332443, 3.0942196846, 0.0003612153
1.8533332348, 3.0942196846, -0.0007296155
1.8633359671, 3.0942196846, 0.0003382354
1.8734979630, 3.0942196846, -0.0014166163
1.8834605217, 3.0942196846, 0.0011085457
1.8935445547, 3.0942196846, -0.0007650452
1.9033422470, 3.0942196846, -0.0010731159
1.9135922194, 3.0942196846, -0.0021639466
1.9236450195, 3.0942196846, -0.0018558761
1.9333467484, 3.0942196846, -0.0043934882
1.9437874556, 3.0942196846, -0.0014822108
1.9537698030, 3.0942196846, 0.0000177149
1.9638342857, 3.0942196846, 0.0000531446
1.9739135504, 3.0942196846, -0.0003913801
1.9839730263, 3.0942196846, -0.0018257112
1.9939436913, 3.0942196846, -0.0000354298
2.0036051273, 3.0942196846, 0.0010606659
2.0140905380, 3.0942196846, -0.0003913801
2.0240838528, 3.0942196846, 0.0029591566
2.0341274738, 3.0942196846, 0.0011262605
2.0442130566, 3.0942196846, 0.0006994507
2.0543007851, 3.0942196846, 0.0008306397
2.0643453598, 3.0942196846, 0.0018735909
2.0743105412, 3.0942196846, 0.0003913801
2.0844042301, 3.0942196846, 0.0043882229
2.0944690704, 3.0942196846, 0.0028758473
2.1039729118, 3.0942196846, 0.0004090950
2.1145033836, 3.0942196846, -0.0025074473
2.1245791912, 3.0942196846, 0.0003684002
2.1345667839, 3.0942196846, 0.0018683259
2.1447300911, 3.0942196846, 0.0047671534
2.1546945572, 3.0942196846, 0.0000301648
2.1647839546, 3.0942196846, 0.0007119006
2.1748340130, 3.0942196846, -0.0000354298
2.1849029064, 3.0942196846, 0.0029165421
2.1949748993, 3.0942196846, 0.0036763223
2.2045660019, 3.0942196846, 0.0025730417
2.2150053978, 3.0942196846, 0.0047494383
2.2250976562, 3.0942196846, 0.0047671534
2.2350549698, 3.0942196846, 0.0004090950
2.2451355457, 3.0942196846, 0.0022295413
2.2551012039, 3.0942196846, 0.0021337820
2.2651214600, 3.0942196846, -0.0006994507
2.2751216888, 3.0942196846, -0.0014520461
2.2851159573, 3.0942196846, 0.0021639466
2.2951028347, 3.0942196846, 0.0010554011
2.3049657345, 3.0942196846, 0.0040198229
2.3151295185, 3.0942196846, -0.0000177149
2.3251454830, 3.0942196846, -0.0000229798
2.3350870609, 3.0942196846, 0.0036284428
2.3450934887, 3.0942196846, 0.0010731159
2.3550901413, 3.0942196846, 0.0013936365
2.3650355339, 3.0942196846, -0.0010554011
2.3750402927, 3.0942196846, 0.0018204462
2.3850469589, 3.0942196846, 0.0014290663
2.3949880600, 3.0942196846, -0.0011209956
2.4049892426, 3.0942196846, 0.0007171656
2.4149811268, 3.0942196846, 0.0014822108
2.4249691963, 3.0942196846, 0.0011085457
2.4349343777, 3.0942196846, 0.0010908308
2.4449129105, 3.0942196846, -0.0003382354
2.4548823833, 3.0942196846, 0.0007119006
2.4648723602, 3.0942196846, -0.0004090950
2.4748857021, 3.0942196846, -0.0036461577
2.4848761559, 3.0942196846, -0.0014999257
2.4948215485, 3.0942196846, 0.0040677022
2.5048227310, 3.0942196846, 0.0022118264
2.5148253441, 3.0942196846, -0.0048025828
2.5247683525, 3.0942196846, 0.0014644959
2.5347661972, 3.0942196846, 0.0018735909
2.5447566509, 3.0942196846, 0.0004038300
2.5547378063, 3.0942196846, 0.0055020335
2.5647273064, 3.0942196846, -0.0007171656
2.5747194290, 3.0942196846, -0.0051408182
2.5847182274, 3.0942196846, -0.0022295413
2.5946574211, 3.0942196846, -0.0007473304
2.6046628952, 3.0942196846, 0.0006994507
2.6146717072, 3.0942196846, 0.0017902814
2.6246056557, 3.0942196846, 0.0014644959
2.6346127987, 3.0942196846, -0.0025553268
2.6446139812, 3.0942196846, 0.0014644959
2.6545808315, 3.0942196846, -0.0033026570
2.6645607948, 3.0942196846, -0.0000177149
2.6745502949, 3.0942196846, -0.0015123757
2.6845629215, 3.0942196846, -0.0014822108
2.6945016384, 3.0942196846, 0.0004038300
2.7045085430, 3.0942196846, -0.0010908308
2.7145175934, 3.0942196846, -0.0003257855
2.7245090008, 3.0942196846, 0.0000124499
2.7344481945, 3.0942196846, -0.0010606659
2.7444410324, 3.0942196846, 0.0000354298
2.7544488907, 3.0942196846, 0.0007525953
2.7643973827, 3.0942196846, 0.0000177149
2.7743964195, 3.0942196846, -0.0010908308
2.7843947411, 3.0942196846, 0.0036586074
2.7943263054, 3.0942196846, -0.0010783809
2.8043365479, 3.0942196846, 0.0022295413
2.8143463135, 3.0942196846, 0.0014822108
2.8242852688, 3.0942196846, -0.0003736652
2.8342885971, 3.0942196846, -0.0014343312
2.8442900181, 3.0942196846, -0.0025907566
2.8542337418, 3.0942196846, 0.0014644959
2.8642346859, 3.0942196846, 0.0019037556
2.8742229939, 3.0942196846, -0.0035930129
2.8842384815, 3.0942196846, 0.0007348805
2.8941626549, 3.0942196846, -0.0006640209
2.9041719437, 3.0942196846, 0.0000000000
2.9141814709, 3.0942196846, -0.0011918552
2.9241256714, 3.0942196846, -0.0003736652
2.9341287613, 3.0942196846, 0.0014822108
2.9441146851, 3.0942196846, 0.0014946607
2.9540665150, 3.0942196846, -0.0014290663
2.9640600681, 3.0942196846, 0.0014999257
2.9740712643, 3.0942196846, 0.0037117521
2.9840302467, 3.0942196846, -0.0003789301
2.9940273762, 3.0942196846, -0.0010731159
3.0040073395, 3.0942196846, 0.0047547030
3.0140087605, 3.0942196846, -0.0000124499
3.0239517689, 3.0942196846, 0.0011262605
3.0339667797, 3.0942196846, 0.0011262605
3.0439605713, 3.0942196846, -0.0029467070
3.0539057255, 3.0942196846, 0.0003257855
3.0639035702, 3.0942196846, -0.0003913801
3.0739049911, 3.0942196846, -0.0018683259
3.0838520527, 3.0942196846, -0.0003736652
3.0938403606, 3.0942196846, -0.0000354298
3.1038489342, 3.0942196846, -0.0026084716
3.1137957573, 3.0942196846, 0.0047724182
3.1238369942, 3.0942196846, -0.0022295413
3.1338384151, 3.0942196846, -0.0021816615
3.1438384056, 3.0942196846, 0.0004445247
3.1537384987, 3.0942196846, -0.0014999257
3.1637423038, 3.0942196846, -0.0025730417
3.1737444401, 3.0942196846, -0.0007650452
3.1836895943, 3.0942196846, -0.0033026570
3.1936895847, 3.0942196846, -0.0011209956
3.2036893368, 3.0942196846, 0.0021639466
3.2136583328, 3.0942196846, 0.0017902814
3.2236704826, 3.0942196846, -0.0021941115
3.2336401939, 3.0942196846, 0.0003736652
3.2436089516, 3.0942196846, -0.0004268098
3.2535784245, 3.0942196846, -0.0029467070
3.2635626793, 3.0942196846, -0.0000301648
3.2735867500, 3.0942196846, -0.0011262605
3.2835662365, 3.0942196846, 0.0029768716
3.2935664654, 3.0942196846, -0.0000177149
3.3035693169, 3.0942196846, -0.0021462317
3.3135714531, 3.0942196846, -0.0033203722
3.3235743046, 3.0942196846, -0.0011564253
3.3335762024, 3.0942196846, -0.0032902074
3.3435766697, 3.0942196846, 0.0021337820
3.3535780907, 3.0942196846, -0.0014290663
3.3635792732, 3.0942196846, 0.0025376119
3.3735797405, 3.0942196846, -0.0007348805
3.3835816383, 3.0942196846, -0.0000124499
3.3935844898, 3.0942196846, -0.0022472562
3.4036576748, 3.0942196846, -0.0003382354
3.4137136936, 3.0942196846, -0.0015300905
3.4235877991, 3.0942196846, 0.0006640209
3.4338505268, 3.0942196846, 0.0000000000
3.4438374043, 3.0942196846, 0.0018683259
3.4538974762, 3.0942196846, -0.0010554011
3.4639694691, 3.0942196846, 0.0018558761
3.4740304947, 3.0942196846, -0.0007171656
3.4840161800, 3.0942196846, -0.0003435004
3.4936866760, 3.0942196846, 0.0007525953
3.5041575432, 3.0942196846, 0.0026261862
3.5142295361, 3.0942196846, 0.0004268098
3.5242831707, 3.0942196846, -0.0022118264
3.5342721939, 3.0942196846, 0.0011209956
3.5443408489, 3.0942196846, 0.0010731159
3.5544147491, 3.0942196846, 0.0003789301
3.5644805431, 3.0942196846, -0.0014166163
3.5744521618, 3.0942196846, -0.0010252361
3.5845174789, 3.0942196846, -0.0018381611
3.5941381454, 3.0942196846, 0.0003736652
3.6046743393, 3.0942196846, -0.0017725665
3.6147282124, 3.0942196846, 0.0029289918
3.6246912479, 3.0942196846, 0.0014644959
3.6347746849, 3.0942196846, -0.0021993765
3.6448442936, 3.0942196846, -0.0013811864
3.6548230648, 3.0942196846, -0.0006994507
3.6648793221, 3.0942196846, 0.0011439754
3.6749567986, 3.0942196846, 0.0011564253
3.6850399971, 3.0942196846, -0.0014769458
3.6945784092, 3.0942196846, -0.0054311743
3.7051744461, 3.0942196846, 0.0000000000
3.7151207924, 3.0942196846, -0.0006994507
3.7252173424, 3.0942196846, -0.0014343312
3.7352645397, 3.0942196846, 0.0000655946
3.7452607155, 3.0942196846, -0.0018079963
3.7553079128, 3.0942196846, -0.0025500618
3.7653989792, 3.0942196846, 0.0040198229
3.7753684521, 3.0942196846, -0.0003080707
3.7853727341, 3.0942196846, -0.0003382354
3.7950632572, 3.0942196846, -0.0036408924
3.8053815365, 3.0942196846, 0.0000354298
3.8153719902, 3.0942196846, -0.0036586074
3.8253650665, 3.0942196846, -0.0011032807
3.8353939056, 3.0942196846, 0.0000531446
3.8454108238, 3.0942196846, -0.0026032063
3.8553712368, 3.0942196846, -0.0025677765
3.8653519154, 3.0942196846, 0.0003435004
3.8753514290, 3.0942196846, -0.0003913801
3.8853547573, 3.0942196846, -0.0006640209
3.8952927589, 3.0942196846, -0.0014290663
3.9052932262, 3.0942196846, 0.0003612153
3.9153087139, 3.0942196846, -0.0014520461
3.9252457619, 3.0942196846, 0.0004090950
3.9352538586, 3.0942196846, 0.0014644959
3.9452447891, 3.0942196846, 0.0011209956
3.9551877975, 3.0942196846, 0.0011387105
3.9651970863, 3.0942196846, 0.0007119006
3.9751787186, 3.0942196846, 0.0022597061
3.9851477146, 3.0942196846, -0.0003612153
3.9951217175, 3.0942196846, -0.0003257855
4.0051465034, 3.0942196846, -0.0011085457
4.0151371956, 3.0942196846, 0.0007473304
4.0250773430, 3.0942196846, -0.0029289918
4.0350809097, 3.0942196846, 0.0010731159
4.0450787544, 3.0942196846, 0.0036461577
4.0550231934, 3.0942196846, 0.0032672272
4.0650343895, 3.0942196846, -0.0011085457
4.0750288963, 3.0942196846, 0.0014520461
4.0850172043, 3.0942196846, -0.0011085457
4.0949730873, 3.0942196846, 0.0021285168
4.1049613953, 3.0942196846, 0.0010731159
4.1149854660, 3.0942196846, 0.0014999257
4.1249222755, 3.0942196846, 0.0007119006
4.1349301338, 3.0942196846, -0.0014520461
4.1449217796, 3.0942196846, 0.0021941115
4.1548609734, 3.0942196846, 0.0003435004
4.1648645401, 3.0942196846, 0.0022170914
4.1748623848, 3.0942196846, 0.0029591566
4.1848516464, 3.0942196846, 0.0022170914
4.1948051453, 3.0942196846, 0.0007171656
4.2047982216, 3.0942196846, -0.0029467070
4.2148032188, 3.0942196846, 0.0029289918
4.2247509956, 3.0942196846, 0.0000000000
4.2347531319, 3.0942196846, 0.0036940372
4.2447509766, 3.0942196846, 0.0011085457
4.2546968460, 3.0942196846, -0.0011085457
4.2646842003, 3.0942196846, 0.0010731159
4.2746863365, 3.0942196846, 0.0021816615
4.2847051620, 3.0942196846, 0.0018735909
4.2946348190, 3.0942196846, 0.0011209956
4.3046369553, 3.0942196846, -0.0014822108
4.3146581650, 3.0942196846, -0.0014946607
4.3246040344, 3.0942196846, 0.0004215449
4.3345832825, 3.0942196846, 0.0051460834
4.3445849419, 3.0942196846, 0.0017725665
4.3545598984, 3.0942196846, -0.0003736652
4.3645405769, 3.0942196846, 0.0021586819
4.3745360374, 3.0942196846, 0.0051053884
4.3845300674, 3.0942196846, 0.0029414417
4.3944835663, 3.0942196846, -0.0007525953
4.4044871330, 3.0942196846, 0.0014946607
4.4144902229, 3.0942196846, 0.0011085457
4.4244346619, 3.0942196846, -0.0022118264
4.4344286919, 3.0942196846, 0.0026084716
4.4444375038, 3.0942196846, 0.0003382354
4.4544239044, 3.0942196846, -0.0030123014
4.4643740654, 3.0942196846, -0.0018735909
4.4743838310, 3.0942196846, -0.0003736652
4.4843697548, 3.0942196846, -0.0006640209
4.4943137169, 3.0942196846, -0.0014467810
4.5043249130, 3.0942196846, 0.0003257855
4.5143146515, 3.0942196846, 0.0007119006
4.5243163109, 3.0942196846, -0.0022118264
4.5342597961, 3.0942196846, -0.0000177149
4.5442609787, 3.0942196846, -0.0007473304
4.5542740822, 3.0942196846, 0.0003559503
4.5642089844, 3.0942196846, -0.0014644959
4.5742092133, 3.0942196846, 0.0025376119
4.5842056274, 3.0942196846, -0.0007171656
4.5941748619, 3.0942196846, -0.0010908308
4.6041717529, 3.0942196846, -0.0018381611
4.6141595840, 3.0942196846, -0.0011085457
4.6241240501, 3.0942196846, -0.0000354298
4.6341066360, 3.0942196846, 0.0025500618
4.6441068649, 3.0942196846, -0.0007650452
4.6541080475, 3.0942196846, 0.0018683259
4.6640901566, 3.0942196846, -0.0033380869
4.6740918159, 3.0942196846, 0.0006994507
4.6840939522, 3.0942196846, -0.0015176407
4.6940579414, 3.0942196846, 0.0009898065
4.7040138245, 3.0942196846, -0.0015300905
4.7140169144, 3.0942196846, 0.0000177149
4.7240042686, 3.0942196846, 0.0025730417
4.7339515686, 3.0942196846, -0.0003789301
4.7439517975, 3.0942196846, 0.0003028057
4.7539486885, 3.0942196846, -0.0004090950
4.7639188766, 3.0942196846, -0.0055374634
4.7739319801, 3.0942196846, 0.0007348805
4.7838869095, 3.0942196846, -0.0010678510
4.7938709259, 3.0942196846, -0.0025198970
4.8038268089, 3.0942196846, 0.0011085457
4.8138341904, 3.0942196846, 0.0003329704
4.8238329887, 3.0942196846, -0.0019214705
4.8338351250, 3.0942196846, 0.0014822108
4.8438348770, 3.0942196846, -0.0002850908
4.8538379669, 3.0942196846, 0.0011616903
4.8638401031, 3.0942196846, 0.0018558761
4.8738398552, 3.0942196846, -0.0022702359
4.8838458061, 3.0942196846, 0.0013582066
4.8938450813, 3.0942196846, 0.0007473304
4.9038462639, 3.0942196846, -0.0032140827
4.9138464928, 3.0942196846, 0.0014573113
4.9238481522, 3.0942196846, -0.0020983522
4.9338479042, 3.0942196846, 0.0019090207
4.9438509941, 3.0942196846, -0.0036815875
4.9539217949, 3.0942196846, -0.0015707852
4.9639916420, 3.0942196846, -0.0036993024
4.9740653038, 3.0942196846, 0.0030175662
4.9838566780, 3.0942196846, 0.0029644216
4.9941129684, 3.0942196846, -0.0022649709
5.0041818619, 3.0942196846, -0.0010960958
5.0142588615, 3.0942196846, 0.0022118264
5.0242271423, 3.0942196846, 0.0044413675
5.0342931747, 3.0942196846, -0.0006994507
5.0443658829, 3.0942196846, -0.0011616903
5.0544419289, 3.0942196846, 0.0001010244
5.0644149780, 3.0942196846, 0.0025854916
5.0744671822, 3.0942196846, -0.0033912314
5.0840897560, 3.0942196846, -0.0026261862
5.0946249962, 3.0942196846, -0.0012095700
5.1045947075, 3.0942196846, -0.0009491117
5.1146612167, 3.0942196846, 0.0041562766
5.1247367859, 3.0942196846, -0.0040552528
5.1347112656, 3.0942196846, -0.0001240042
5.1447968483, 3.0942196846, 0.0009845415
5.1548533440, 3.0942196846, 0.0003736652
5.1649198532, 3.0942196846, 0.0000708595
5.1749939919, 3.0942196846, -0.0006587559
5.1844863892, 3.0942196846, -0.0002549260
5.1950316429, 3.0942196846, 0.0014999257
5.2051010132, 3.0942196846, -0.0026261862
5.2150821686, 3.0942196846, 0.0017371369
5.2251529694, 3.0942196846, -0.0004143600
5.2352352142, 3.0942196846, -0.0018558761
5.2451982498, 3.0942196846, 0.0000124499
5.2552747726, 3.0942196846, -0.0025021820
5.2653579712, 3.0942196846, -0.0010908308
5.2754173279, 3.0942196846, 0.0011564253
5.2849888802, 3.0942196846, -0.0018381611
5.2954587936, 3.0942196846, -0.0018079963
5.3055200577, 3.0942196846, 0.0006640209
5.3155889511, 3.0942196846, 0.0006941857
5.3255848885, 3.0942196846, -0.0008588846
5.3356680870, 3.0942196846, 0.0003559503
5.3456096649, 3.0942196846, -0.0013582066
5.3556513786, 3.0942296982, 0.0012555296
5.3656301498, 3.0942296982, 0.0022170753
5.3756279945, 3.0942296982, -0.0022580102
5.3853683472, 3.0942196846, -0.0002002963
5.3956580162, 3.0942196846, -0.0000105298
5.4056601524, 3.0942196846, -0.0009668266
5.4156751633, 3.0942296982, -0.0012873472
5.4256038666, 3.0942296982, -0.0016841392
5.4356179237, 3.0942296982, -0.0006287221
5.4456462860, 3.0942296982, -0.0011970717
5.4555630684, 3.0943243504, 0.0001787993
5.4655618668, 3.0943243504, 0.0006236181
5.4755640030, 3.0943243504, -0.0025199850
5.4855122566, 3.0943243504, -0.0006110979
5.4955210686, 3.0943243504, -0.0031966316
5.5055041313, 3.0943243504, -0.0010731546
5.5155072212, 3.0943243504, 0.0007348312
5.5254478455, 3.0943243504, 0.0006766467
5.5354599953, 3.0943243504, 0.0002676186
5.5454349518, 3.0943243504, -0.0011438594
5.5554051399, 3.0943243504, 0.0015175351
5.5653810501, 3.0943243504, 0.0026613944
5.5754008293, 3.0943243504, -0.0006287742
5.5853400230, 3.0943243504, -0.0007171551
5.5953388214, 3.0943856239, 0.0016312241
5.6053509712, 3.0943856239, 0.0002547081
5.6153411865, 3.0943856239, -0.0003385738
5.6252822876, 3.0943856239, -0.0009980573
5.6352877617, 3.0943856239, -0.0006948115
5.6452913284, 3.0943856239, -0.0018209701
5.6552166939, 3.0943856239, 0.0035889484
5.6652345657, 3.0943856239, -0.0008052487
5.6752238274, 3.0943856239, 0.0007124754
5.6851801872, 3.0943856239, 0.0000883195
5.6951775551, 3.0943856239, -0.0003032460
5.7051792145, 3.0943856239, 0.0000485379
5.7151198387, 3.0943856239, 0.0018386340
5.7251200676, 3.0943856239, 0.0011040408
5.7351241112, 3.0943856239, -0.0004268933
5.7450771332, 3.0943856239, -0.0017856422
5.7550678253, 3.0943856239, -0.0021816615
5.7650690079, 3.0943856239, 0.0007124754
5.7750620842, 3.0943856239, -0.0007699209
5.7849988937, 3.0943856239, 0.0002458005
5.7950081825, 3.0943856239, 0.0021242159
5.8050179482, 3.0943856239, 0.0029471286
5.8149647713, 3.0943243504, 0.0023583006
5.8249540329, 3.0942296982, 0.0005504375
5.8349709511, 3.0942296982, -0.0005280024
5.8449349403, 3.0942296982, -0.0026260633
5.8549108505, 3.0943243504, 0.0009082413
5.8649101257, 3.0943856239, 0.0001387293
5.8749189377, 3.0943856239, 0.0002855821
5.8848581314, 3.0942296982, -0.0015913392
5.8948516846, 3.0942296982, -0.0015900841
5.9048581123, 3.0942296982, -0.0016963250
5.9148011208, 3.0943243504, -0.0019442206
5.9247956276, 3.0943856239, -0.0009771418
5.9347977638, 3.0943856239, 0.0009097378
5.9448008537, 3.0943856239, 0.0032327105
5.9547443390, 3.0943243504, 0.0019446174
5.9647550583, 3.0943243504, 0.0027497753
5.9747457504, 3.0943243504, 0.0027269432
5.9846982956, 3.0943856239, 0.0010503225
